Hashtag_name,Following,Followers,Total_tweets,Activity_level,Semantic_similarity,Polarity,subjectivity,Degree Centrality,katz_centrality,betweenness_centrality,closeness_centrality,Page_rank,Label
PinkTape,0.013538039605823912,0.00025784999434173063,0.0016992728668394682,0.009951040759895818,0.4837334328944361,0.4506260521885522,0.1898674242424242,0.19954334711778934,0.406922245698173,0.06161907208670653,0.46113669855764144,0.14699552551455197,0.0
Barbie,0.013538039605823912,0.00025784999434173063,0.0016992728668394682,0.009951040759895818,0.45878054416019365,0.3981481481481482,0.2133333333333333,0.12839666380574175,0.35954065629027404,0.009027668509251378,0.4237547339474594,0.08747131684567955,0.0
EndlessFashion,0.012556632563892287,0.00018588744069260256,0.007000036803558378,0.007920655963533177,0.5172776446339861,0.4603909465020576,0.2907407407407407,0.26052621852811575,0.44308422267030095,0.0924196177548746,0.46447917637992897,0.18197401015199116,0.0
PinkTape,0.012556632563892287,0.00018588744069260256,0.007000036803558378,0.007920655963533177,0.4921070074896876,0.4506260521885522,0.1898674242424242,0.19954334711778934,0.406922245698173,0.06161907208670653,0.46113669855764144,0.14699552551455197,0.0
Barbie,0.012556632563892287,0.00018588744069260256,0.007000036803558378,0.007920655963533177,0.5096383276379812,0.3981481481481482,0.2133333333333333,0.12839666380574175,0.35954065629027404,0.009027668509251378,0.4237547339474594,0.08747131684567955,0.0
EndlessFashion,0.03432235860344433,0.0004431678105991158,0.014638702972500731,0.017360021593550514,0.6266264415906214,0.4603909465020576,0.2907407407407407,0.26052621852811575,0.44308422267030095,0.0924196177548746,0.46447917637992897,0.18197401015199116,0.0
PinkTape,0.03432235860344433,0.0004431678105991158,0.014638702972500731,0.017360021593550514,0.5645572988063486,0.4506260521885522,0.1898674242424242,0.19954334711778934,0.406922245698173,0.06161907208670653,0.46113669855764144,0.14699552551455197,0.0
Barbie,0.03432235860344433,0.0004431678105991158,0.014638702972500731,0.017360021593550514,0.5679206401947129,0.4404761904761905,0.0214285714285714,0.12839666380574175,0.35954065629027404,0.009027668509251378,0.4237547339474594,0.08747131684567955,0.0
EndlessFashion,0.03257464743288117,0.0006662707143925867,0.026142794301407122,0.02847871522467473,0.6266264415906214,0.4603909465020576,0.2907407407407407,0.26052621852811575,0.44308422267030095,0.0924196177548746,0.46447917637992897,0.18197401015199116,0.0
PinkTape,0.03257464743288117,0.0006662707143925867,0.026142794301407122,0.02847871522467473,0.5645572988063486,0.4506260521885522,0.1898674242424242,0.19954334711778934,0.406922245698173,0.06161907208670653,0.46113669855764144,0.14699552551455197,0.0
Barbie,0.03257464743288117,0.0006662707143925867,0.026142794301407122,0.02847871522467473,0.5679206401947129,0.4404761904761905,0.0214285714285714,0.12839666380574175,0.35954065629027404,0.009027668509251378,0.4237547339474594,0.08747131684567955,0.0
EndlessFashion,0.007622709490071656,0.00014791247834477773,0.004174224540262217,0.0646071067702339,0.38054110562903437,0.4603909465020576,0.2907407407407407,0.26052621852811575,0.44308422267030095,0.0924196177548746,0.46447917637992897,0.18197401015199116,0.0
PinkTape,0.007622709490071656,0.00014791247834477773,0.004174224540262217,0.0646071067702339,0.4857718568286773,0.4506260521885522,0.1898674242424242,0.19954334711778934,0.406922245698173,0.06161907208670653,0.46113669855764144,0.14699552551455197,0.0
Barbie,0.007622709490071656,0.00014791247834477773,0.004174224540262217,0.0646071067702339,0.5100642512751355,0.4404761904761905,0.0214285714285714,0.12839666380574175,0.35954065629027404,0.009027668509251378,0.4237547339474594,0.08747131684567955,0.0
EndlessFashion,0.011131575763279243,0.00016993795650651613,0.014267512797999288,0.0211937423497157,0.6321180177568156,0.4603909465020576,0.2907407407407407,0.26052621852811575,0.44308422267030095,0.0924196177548746,0.46447917637992897,0.18197401015199116,0.0
PinkTape,0.011131575763279243,0.00016993795650651613,0.014267512797999288,0.0211937423497157,0.5248787519026356,0.4506260521885522,0.1898674242424242,0.19954334711778934,0.406922245698173,0.06161907208670653,0.46113669855764144,0.14699552551455197,0.0
PinkTape,0.000981407041931624,1.632923380956468e-05,0.000537331952323619,0.008756334712164644,0.5370949357336458,0.4506260521885522,0.1898674242424242,0.19954334711778934,0.406922245698173,0.06161907208670653,0.46113669855764144,0.14699552551455197,0.0
EndlessFashion,0.000981407041931624,1.632923380956468e-05,0.000537331952323619,0.008756334712164644,0.5896521805317482,0.4603909465020576,0.2907407407407407,0.26052621852811575,0.44308422267030095,0.0924196177548746,0.46447917637992897,0.18197401015199116,0.0
PinkTape,0.012892730865923666,0.0003167111859808591,0.006005990217263673,0.007488322655615128,0.5568817918585834,0.4506260521885522,0.1898674242424242,0.19954334711778934,0.406922245698173,0.06161907208670653,0.46113669855764144,0.14699552551455197,0.0
EndlessFashion,0.012892730865923666,0.0003167111859808591,0.006005990217263673,0.007488322655615128,0.5314516273843831,0.4603909465020576,0.2907407407407407,0.26052621852811575,0.44308422267030095,0.0924196177548746,0.46447917637992897,0.18197401015199116,0.0
PinkTape,0.008483121143271984,4.917757624043316e-05,0.0003831075172144263,0.0073142153114710085,0.6374033554670303,0.4506260521885522,0.1898674242424242,0.19954334711778934,0.406922245698173,0.06161907208670653,0.46113669855764144,0.14699552551455197,0.0
EndlessFashion,0.008483121143271984,4.917757624043316e-05,0.0003831075172144263,0.0073142153114710085,0.5829863400363045,0.4603909465020576,0.2907407407407407,0.26052621852811575,0.44308422267030095,0.0924196177548746,0.46447917637992897,0.18197401015199116,0.0
PinkTape,0.020367557103101515,0.0008386770434517114,0.006463756381474141,0.009583874612100689,0.47319335845768157,0.4506260521885522,0.1898674242424242,0.19954334711778934,0.406922245698173,0.06161907208670653,0.46113669855764144,0.14699552551455197,0.0
EndlessFashion,0.020367557103101515,0.0008386770434517114,0.006463756381474141,0.009583874612100689,0.3746804085557804,0.4603909465020576,0.2907407407407407,0.26052621852811575,0.44308422267030095,0.0924196177548746,0.46447917637992897,0.18197401015199116,0.0
EndlessFashion,0.007622709490071656,0.00014791247834477773,0.004174224540262217,0.0646071067702339,0.40516371955122565,0.4603909465020576,0.2907407407407407,0.26052621852811575,0.44308422267030095,0.0924196177548746,0.46447917637992897,0.18197401015199116,0.0
